,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4770,1990,1277.2,1294.2,0.0,0.0,1111.2,0.0,0.0,0.0,0.0,0.8585999072786278,1111.2
4771,1991,1345.0,1367.0,0.0,0.0,1125.6,0.0,0.0,0.0,0.0,0.8234089246525237,1125.6
4772,1992,1363.6,1386.6,0.0,0.0,1161.6,0.0,0.0,0.0,0.0,0.8377325832972738,1161.6
4773,1993,1368.0,1392.0,0.0,0.0,1172.0,0.0,0.0,0.0,0.0,0.8419540229885057,1172.0
4774,1994,1373.4,1397.4,0.0,0.0,1182.4,0.0,0.0,0.0,0.0,0.8461428366967225,1182.4
4775,1995,1377.8,1401.8,0.0,0.0,1192.8,0.0,0.0,0.0,0.0,0.8509059780282494,1192.8
4776,1996,1386.0,1409.2,0.0,0.0,1203.2,0.0,0.0,0.0,0.0,0.8538177689469203,1203.2
4777,1997,1391.0,1413.6,0.0,0.0,1213.6,0.0,0.0,0.0,0.0,0.8585172608941709,1213.6
4778,1998,1397.0,1421.4,0.0,0.0,1222.4,0.0,0.0,0.0,0.0,0.8599971858730829,1222.4
4779,1999,1415.0,1439.8,0.0,0.0,1224.8,0.0,0.0,0.0,0.0,0.8506737046812057,1224.8
4780,2000,1147.0,1172.0,0.0,0.0,920.0,0.0,0.0,0.0,0.0,0.7849829351535836,920.0
4781,2001,1209.0,1235.0,0.0,0.0,921.0,0.0,0.0,0.0,0.0,0.745748987854251,921.0
4782,2002,1325.0,1347.9,0.0,0.0,856.3,0.0,0.0,0.0,0.0,0.6352845166555382,856.3
4783,2003,1305.7,1328.3,0.0,0.0,772.1,0.0,0.0,0.0,0.0,0.5812692915756983,772.1
4784,2004,1383.0,1406.9,0.0,0.0,738.6,0.0,0.0,0.0,0.0,0.5249840073921387,738.6
4785,2005,1491.2,1517.0,0.0,0.0,639.8,0.0,0.0,0.0,0.0,0.421753460777851,639.8
4786,2006,1507.2,1533.3,0.0,0.0,820.5,0.0,0.0,0.0,0.0,0.5351203287027979,820.5
4787,2007,1529.2,1555.6,0.0,0.0,922.4,0.0,0.0,0.0,0.0,0.5929544870146567,922.4
4788,2008,1692.4,1722.3,0.0,0.0,1074.7,0.0,0.0,0.0,0.0,0.6239911745921153,1074.7
4789,2009,1710.7,1740.3,0.0,0.0,1069.0,0.0,0.0,0.0,0.0,0.6142619088662874,1069.0
4790,2010,1693.9,1723.2,0.0,0.0,968.2,0.0,0.0,0.0,0.0,0.5618616527390901,968.2
4791,2011,1918.1,1951.3,0.0,0.0,946.4,0.0,0.0,0.0,0.0,0.48500999333777484,946.4
4792,2012,1938.9,1972.4,0.0,0.0,998.0,0.0,0.0,0.0,0.0,0.5059825593185966,998.0
4793,2013,2147.2,2184.3,0.0,0.0,481.1,0.0,0.0,0.0,0.0,0.2202536281646294,481.1
4794,2014,2144.9,2179.6,0.0,0.0,795.1,0.0,0.0,0.0,0.0,0.3647917048999817,795.1
