,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4795,1990,360.0,364.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.4230769230769231,154.0
4796,1991,415.0,419.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.48687350835322196,204.0
4797,1992,415.0,419.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.48687350835322196,204.0
4798,1993,415.0,419.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.48687350835322196,204.0
4799,1994,965.0,419.0,550.0,0.0,204.0,0.0,0.0,0.0,0.0,0.48687350835322196,204.0
4800,1995,990.0,425.0,570.0,0.0,210.0,0.0,0.0,0.0,0.0,0.49411764705882355,210.0
4801,1996,1010.0,425.0,590.0,0.0,210.0,0.0,0.0,0.0,0.0,0.49411764705882355,210.0
4802,1997,1040.0,450.0,600.0,0.0,200.0,0.0,0.0,0.0,0.0,0.4444444444444444,200.0
4803,1998,1061.5,451.5,620.0,0.0,200.0,0.0,0.0,0.0,0.0,0.4429678848283499,200.0
4804,1999,1106.6,454.5,662.1,0.0,188.8,0.0,0.0,0.0,0.0,0.4154015401540154,188.8
4805,2000,1112.1,469.7,652.4,0.0,192.3,0.0,0.0,0.0,0.0,0.4094102618692783,192.3
4806,2001,1097.6,506.3,601.3,0.0,229.1,0.0,0.0,0.0,0.0,0.4524985186648232,229.1
4807,2002,1147.0,472.7,689.3,0.0,203.7,0.0,0.0,0.0,0.0,0.4309287074254284,203.7
4808,2003,1247.6,394.4,868.2,0.0,123.0,0.0,0.0,0.0,0.0,0.3118661257606491,123.0
4809,2004,1256.3,354.5,916.8,0.0,103.5,0.0,0.0,0.0,0.0,0.2919605077574048,103.5
4810,2005,1212.0,408.0,819.0,0.0,159.5,0.0,0.0,0.0,0.0,0.3909313725490196,159.5
4811,2006,1316.28,437.28,894.0,0.0,156.28,0.0,0.0,0.0,0.0,0.3573911452616173,156.28
4812,2007,1375.08,454.08,936.0,0.0,173.08,0.0,0.0,0.0,0.0,0.38116631430584924,173.08
4813,2008,1400.6,431.8,983.0,0.0,160.0,0.0,0.0,0.0,0.0,0.37054191755442334,160.0
4814,2009,1425.4,517.7,923.3,0.0,245.5,0.0,0.0,0.0,0.0,0.4742128645933938,245.5
4815,2010,1455.1,559.73,909.4,0.0,288.1,0.0,0.0,0.0,0.0,0.5147124506458471,288.1
4816,2011,1444.5,654.44,805.5,0.0,333.4,0.0,0.0,0.0,0.0,0.5094431880691889,333.4
4817,2012,1420.4,621.8,813.4,0.0,272.3,0.0,0.0,0.0,0.0,0.4379221614667096,272.3
4818,2013,1396.7,589.8,821.9,0.0,239.8,0.0,0.0,0.0,0.0,0.406578501186843,239.8
4819,2014,1427.0,567.0,860.0,0.0,302.0,0.0,0.0,0.0,0.0,0.5326278659611993,302.0
