,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4820,1990,139986.0,146514.0,12909.0,14677.0,73033.0,6.0,0.0,0.0,0.0,0.49851208758207405,73039.0
4821,1991,141137.0,147396.0,6225.0,7519.0,63662.0,13.0,0.0,0.0,0.0,0.431999511519987,63675.0
4822,1992,131569.0,146465.0,8847.0,11003.0,74861.0,31.0,0.0,0.0,0.0,0.5113303519612195,74892.0
4823,1993,133194.0,145812.0,7978.0,8566.0,75216.0,48.0,1.0,0.0,0.0,0.5161783666639234,75265.0
4824,1994,133622.0,143053.0,6681.0,6418.0,59453.0,72.0,1.0,0.0,0.0,0.4161115111182569,59526.0
4825,1995,136809.0,148351.0,7720.0,9401.0,68160.0,99.0,1.0,0.0,0.0,0.46012497387951545,68260.0
4826,1996,138695.0,140662.0,15885.0,9747.0,51775.0,144.0,1.0,0.0,0.0,0.36911177148057045,51920.0
4827,1997,137802.0,149249.0,10252.0,12960.0,69099.0,203.0,1.0,0.0,0.0,0.46434481973078545,69303.0
4828,1998,139566.0,158831.0,6102.0,16799.0,75040.0,317.0,1.0,0.0,0.0,0.4744539793868955,75358.0
4829,1999,139250.0,154860.0,8456.0,15938.0,71713.0,358.0,1.0,0.0,0.0,0.4654010073614878,72072.0
4830,2000,141951.0,145266.0,18308.0,13630.0,78619.0,457.0,1.0,0.0,0.0,0.5443600016521416,79077.0
4831,2001,146410.0,161617.0,11164.0,18454.0,79082.0,482.0,2.0,0.0,0.0,0.492312071131131,79566.0
4832,2002,145097.0,146735.0,20110.0,14754.0,66395.0,608.0,2.0,0.0,0.0,0.4566395202235322,67005.0
4833,2003,142733.0,135437.0,24287.0,11457.0,53598.0,679.0,2.0,0.0,0.0,0.40076936140050357,54279.0
4834,2004,144003.0,151728.0,15646.0,17750.0,60178.0,850.0,2.0,0.0,0.0,0.4022329431614468,61030.0
4835,2005,144934.0,158436.0,14576.0,21968.0,72874.0,936.0,2.0,0.0,0.0,0.4658789669014618,73812.0
4836,2006,144307.0,143419.0,17537.0,11497.0,61856.0,987.0,2.0,0.0,0.0,0.438191592466828,62845.0
4837,2007,144393.0,148926.0,16052.0,14736.0,66262.0,1430.0,3.0,0.0,0.0,0.45455461101486644,67695.0
4838,2008,142519.0,150036.0,12754.0,14715.0,69211.0,1996.0,4.0,0.0,0.0,0.47462608973846276,71211.0
4839,2009,136229.0,136729.0,13765.0,9080.0,65977.0,2485.0,7.0,0.0,0.0,0.5007642855575628,68469.0
4840,2010,145597.0,148563.0,14931.0,12853.0,66501.0,3502.0,9.0,0.0,0.0,0.4712613504035325,70012.0
4841,2011,138196.0,150376.0,12481.0,19714.0,66556.0,6078.0,11.0,0.0,0.0,0.4830890567643773,72645.0
4842,2012,141284.0,166562.0,11682.0,31255.0,79058.0,7165.0,19.0,0.0,0.0,0.5177771640590291,86242.0
4843,2013,137885.0,153166.0,12674.0,22676.0,61496.0,9842.0,35.0,0.0,0.0,0.46598461799616103,71373.0
4844,2014,132375.0,153662.0,13852.0,29475.0,63872.0,11234.0,47.0,0.0,0.0,0.4890799286746235,75153.0
