,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4845,1990,50651.0,56181.0,20754.0,22862.0,30982.0,0.0,1.0,0.0,0.0,0.5514853776187679,30983.0
4846,1991,51751.0,58222.0,19782.0,22578.0,33413.0,0.0,2.0,0.0,0.0,0.5739239462746041,33415.0
4847,1992,52164.0,59673.0,19571.0,23860.0,34062.0,0.0,3.0,0.0,0.0,0.5708611935046001,34065.0
4848,1993,51540.0,61699.0,19520.0,26719.0,36612.0,0.0,4.0,0.0,0.0,0.5934618065122611,36616.0
4849,1994,51316.0,66306.0,16250.0,28093.0,39952.0,0.0,5.0,0.0,0.0,0.6026151479504117,39957.0
4850,1995,52363.0,63032.0,19419.0,26690.0,35954.0,0.0,5.0,0.0,0.0,0.5704880060921437,35959.0
4851,1996,52960.0,57500.0,23241.0,24187.0,29995.0,1.0,6.0,0.0,0.0,0.5217739130434783,30002.0
4852,1997,52906.0,63092.0,20748.0,27502.0,35142.0,2.0,8.0,0.0,0.0,0.557154631332023,35152.0
4853,1998,53943.0,63470.0,23607.0,29561.0,34637.0,3.0,8.0,0.0,0.0,0.5458956987553175,34648.0
4854,1999,56038.0,69690.0,21723.0,31952.0,41022.0,3.0,9.0,0.0,0.0,0.5888075764098148,41034.0
4855,2000,56452.0,67520.0,24330.0,31400.0,38230.0,3.0,11.0,0.0,0.0,0.5664099526066351,38244.0
4856,2001,57928.0,72422.0,24096.0,34540.0,42673.0,4.0,12.0,0.0,0.0,0.5894479578028776,42689.0
4857,2002,58177.0,67174.0,27800.0,32308.0,36924.0,5.0,14.0,0.0,0.0,0.549959805877274,36943.0
4858,2003,59300.0,67445.0,30084.0,33196.0,36865.0,5.0,17.0,0.0,0.0,0.5469197123582178,36887.0
4859,2004,60407.0,65584.0,27056.0,27759.0,35468.0,6.0,17.0,0.0,0.0,0.5411533300805075,35491.0
4860,2005,61552.0,59647.0,38346.0,31996.0,33086.0,8.0,19.0,0.0,0.0,0.5551494626720539,33113.0
4861,2006,61964.0,64059.0,33803.0,31100.0,32883.0,15.0,23.0,0.0,0.0,0.5139168578966266,32921.0
4862,2007,61642.0,67924.0,34818.0,36880.0,36737.0,16.0,27.0,0.0,0.0,0.541487544903127,36780.0
4863,2008,62995.0,68932.0,31601.0,32736.0,37935.0,19.0,34.0,0.0,0.0,0.5510938316021586,37988.0
4864,2009,61664.0,68453.0,31368.0,33525.0,37507.0,23.0,50.0,0.0,0.0,0.5489898178312127,37580.0
4865,2010,64142.0,67815.0,33401.0,32881.0,37825.0,37.0,83.0,0.0,0.0,0.5595369755953697,37945.0
4866,2011,63071.0,64629.0,34824.0,32237.0,34133.0,70.0,149.0,0.0,0.0,0.5315260950966284,34352.0
4867,2012,63586.0,69893.0,31549.0,33749.0,40305.0,88.0,320.0,0.0,0.0,0.5825046857339076,40713.0
4868,2013,64073.0,70312.0,29874.0,32270.0,39968.0,90.0,544.0,0.0,0.0,0.5774547730117192,40602.0
4869,2014,62153.0,71767.0,28530.0,34021.0,39701.0,101.0,842.0,0.0,0.0,0.5663327155935179,40644.0
