,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4870,1990,9308.0,11468.0,0.0,0.0,1410.0,0.0,0.0,0.0,0.0,0.12295081967213115,1410.0
4871,1991,10160.0,12350.0,0.0,0.0,1590.0,0.0,0.0,0.0,0.0,0.12874493927125505,1590.0
4872,1992,10473.0,12673.0,0.0,0.0,1502.0,0.0,0.0,0.0,0.0,0.11851968752465872,1502.0
4873,1993,10642.0,12742.0,0.0,0.0,1537.0,0.0,0.0,0.0,0.0,0.12062470569769267,1537.0
4874,1994,12982.0,15182.0,0.0,0.0,2458.0,0.0,0.0,0.0,0.0,0.16190225266763272,2458.0
4875,1995,13100.0,15300.0,0.0,0.0,2510.0,0.0,0.0,0.0,0.0,0.16405228758169935,2510.0
4876,1996,14978.0,17278.0,0.0,0.0,2550.0,0.0,0.0,0.0,0.0,0.1475865262183123,2550.0
4877,1997,15854.0,18154.0,0.0,0.0,2600.0,0.0,0.0,0.0,0.0,0.14321912526165032,2600.0
4878,1998,18759.0,21159.0,0.0,0.0,2700.0,0.0,0.0,0.0,0.0,0.12760527435133986,2700.0
4879,1999,20216.0,22816.0,0.0,0.0,2720.0,0.0,0.0,0.0,0.0,0.11921458625525946,2720.0
4880,2000,22317.0,25217.0,0.0,0.0,3231.0,0.0,0.0,0.0,0.0,0.1281278502597454,3231.0
4881,2001,23662.0,26712.0,0.0,0.0,3410.0,0.0,0.0,0.0,0.0,0.12765798143156634,3410.0
4882,2002,19060.0,28040.0,0.0,692.0,2451.0,0.0,0.0,0.0,0.0,0.08741084165477889,2451.0
4883,2003,19369.0,30366.0,0.0,249.0,2758.0,0.0,0.0,0.0,0.0,0.09082526509912402,2758.0
4884,2004,20534.0,32137.0,0.0,539.0,4175.0,0.0,0.0,0.0,0.0,0.1299125618446028,4175.0
4885,2005,22273.0,36048.0,0.0,844.0,4325.0,0.0,0.0,0.0,0.0,0.11997891699955615,4325.0
4886,2006,24150.0,37453.0,182.0,986.0,3945.0,0.0,0.0,0.0,0.0,0.10533201612687902,3945.0
4887,2007,34632.0,38642.0,1396.0,991.0,3478.0,0.0,0.0,0.0,0.0,0.09000569328709694,3478.0
4888,2008,36294.0,41023.0,548.0,590.0,2869.0,0.0,0.0,0.0,0.0,0.0699363771542793,2869.0
4889,2009,38288.0,43308.0,542.0,614.0,1866.0,0.0,0.0,0.0,0.0,0.043086727625380995,1866.0
4890,2010,40757.0,46413.0,690.0,1043.0,2592.0,0.0,0.0,0.0,0.0,0.055846422338568937,2592.0
4891,2011,36933.0,42025.0,902.0,1192.0,3283.0,0.0,0.0,0.0,0.0,0.07812016656751933,3283.0
4892,2012,27624.0,31188.0,0.0,0.0,3237.0,0.0,0.0,0.0,0.0,0.10378991919969219,3237.0
4893,2013,22441.0,25933.0,0.0,529.0,3000.0,0.0,0.0,0.0,0.0,0.11568272085759457,3000.0
4894,2014,19106.0,21726.0,0.0,138.0,3000.0,0.0,0.0,0.0,0.0,0.13808340237503453,3000.0
