,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4895,1992,5919.0,6065.0,483.0,209.0,825.0,0.0,0.0,0.0,0.0,0.13602638087386645,825.0
4896,1993,5677.0,5180.0,623.0,16.0,522.0,0.0,0.0,0.0,0.0,0.10077220077220077,522.0
4897,1994,5565.0,5511.0,221.0,54.0,695.0,0.0,0.0,0.0,0.0,0.12611141353656324,695.0
4898,1995,5670.0,6085.0,117.0,0.0,801.0,0.0,0.0,0.0,0.0,0.13163516844700082,801.0
4899,1996,5867.0,6458.0,0.0,26.0,850.0,0.0,0.0,0.0,0.0,0.13161969650046454,850.0
4900,1997,6167.0,6680.0,72.0,0.0,900.0,0.0,0.0,0.0,0.0,0.1347305389221557,900.0
4901,1998,6547.0,7048.0,0.0,2.0,1083.0,0.0,0.0,0.0,0.0,0.1536606129398411,1083.0
4902,1999,6299.0,6863.0,0.0,103.0,1389.0,0.0,0.0,0.0,0.0,0.20238962552819467,1389.0
4903,2000,6439.0,6811.0,112.0,0.0,1170.0,0.0,0.0,0.0,0.0,0.17178094259286447,1170.0
4904,2001,6287.0,6362.0,431.0,0.0,626.0,0.0,0.0,0.0,0.0,0.09839673058786545,626.0
4905,2002,6401.0,6091.0,791.0,0.0,757.0,0.0,0.0,0.0,0.0,0.12428172713840092,757.0
4906,2003,7220.0,6738.0,953.0,0.0,1374.0,0.0,0.0,0.0,0.0,0.20391807658058772,1374.0
4907,2004,7375.0,6667.0,1176.0,0.0,1482.0,0.0,0.0,0.0,0.0,0.2222888855557222,1482.0
4908,2005,8062.0,6945.0,1599.0,0.0,1492.0,0.0,0.0,0.0,0.0,0.2148308135349172,1492.0
4909,2006,8345.0,7006.0,1795.0,0.0,1650.0,0.0,0.0,0.0,0.0,0.23551241792749072,1650.0
4910,2007,8464.0,6498.0,2491.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.1554324407510003,1010.0
4911,2008,8535.0,6311.0,2733.0,0.0,840.0,0.0,0.0,0.0,0.0,0.133100934875614,840.0
4912,2009,7772.0,6828.0,1438.0,0.0,1270.0,0.0,0.0,0.0,0.0,0.18599882835383713,1270.0
4913,2010,8247.0,7260.0,1420.0,0.0,2431.0,0.0,0.0,0.0,0.0,0.33484848484848484,2431.0
4914,2011,8960.0,6759.0,2749.0,73.0,1433.0,0.0,1.0,0.0,0.0,0.21216156236129605,1434.0
4915,2012,8466.0,6262.0,2741.0,72.0,1041.0,0.0,3.0,0.0,0.0,0.16671989779623123,1044.0
4916,2013,8100.53,6094.071999999999,2490.618,62.36,1583.9660000000001,0.0,9.051,0.0,0.0,0.26140436148440654,1593.017
4917,2014,7935.5380000000005,5303.059,3074.383,114.564,1206.651,0.0,14.383,0.0,0.0,0.23025087972809657,1221.034
