,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4918,1992,17654.0,16822.0,6428.0,5596.0,15928.0,0.0,0.0,0.0,0.0,0.9468553085245511,15928.0
4919,1993,16569.0,17741.0,5214.0,6386.0,17118.0,0.0,0.0,0.0,0.0,0.9648836029536103,17118.0
4920,1994,16481.0,16982.0,5571.0,6072.0,16691.0,0.0,0.0,0.0,0.0,0.9828642091626428,16691.0
4921,1995,15430.0,14768.0,4860.0,4198.0,14596.0,0.0,0.0,0.0,0.0,0.988353196099675,14596.0
4922,1996,15239.0,15000.0,4930.0,4610.0,14825.0,0.0,0.0,0.0,0.0,0.9883333333333333,14825.0
4923,1997,14005.0,14005.0,4345.0,4247.0,13713.0,0.0,0.0,0.0,0.0,0.9791503034630489,13713.0
4924,1998,14565.0,14422.0,3969.0,3724.0,14149.0,0.0,0.0,0.0,0.0,0.9810705866037998,14149.0
4925,1999,15509.0,15797.0,3641.0,3831.0,15427.0,0.0,0.0,0.0,0.0,0.9765778312337786,15427.0
4926,2000,15482.0,14247.0,5242.0,3909.0,13913.0,0.0,0.0,0.0,0.0,0.9765564680283568,13913.0
4927,2001,15633.0,14382.0,5396.0,4047.0,14206.0,0.0,0.0,0.0,0.0,0.9877624808788764,14206.0
4928,2002,15989.0,15302.0,4659.0,3874.0,15164.0,0.0,0.0,0.0,0.0,0.9909815710364658,15164.0
4929,2003,16420.0,16509.0,4605.0,4596.0,16336.0,0.0,0.0,0.0,0.0,0.9895208674056575,16336.0
4930,2004,16749.0,16491.0,4807.0,4451.0,16339.0,0.0,0.0,0.0,0.0,0.9907828512521981,16339.0
4931,2005,17242.0,17090.0,4508.0,4258.0,16967.0,0.0,0.0,0.0,0.0,0.9928028086600351,16967.0
4932,2006,17446.0,16935.0,4840.0,4231.0,16701.0,0.0,0.0,0.0,0.0,0.9861824623560673,16701.0
4933,2007,17498.0,17494.0,4361.0,4259.0,17114.0,0.0,0.0,0.0,0.0,0.9782782668343432,17114.0
4934,2008,16986.0,16205.0,5297.0,4421.0,15858.0,0.0,0.0,0.0,0.0,0.9785868559086701,15858.0
4935,2009,16133.0,16166.0,4304.0,4247.0,15949.0,0.0,0.0,0.0,0.0,0.9865767660522083,15949.0
4936,2010,16490.0,16436.0,432.0,286.0,16401.0,0.0,0.0,0.0,0.0,0.997870528109029,16401.0
4937,2011,16119.0,16234.0,172.0,197.0,16196.0,0.0,0.0,0.0,0.0,0.9976592337070346,16196.0
4938,2012,16246.0,16998.0,114.0,775.0,16924.0,0.0,0.0,0.0,0.0,0.9956465466525474,16924.0
4939,2013,16081.0,17115.0,117.0,1061.0,17071.0,0.0,0.0,0.0,0.0,0.9974291557113643,17071.0
4940,2014,15155.0,16472.0,33.0,1326.0,16000.0,0.0,0.0,0.0,0.0,0.9713453132588635,16000.0
