,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4941,1990,45008.0,44175.0,652.0,31.0,4976.0,0.0,0.0,1.0,0.0,0.11266553480475382,4977.0
4942,1991,49124.0,50186.0,595.0,40.0,4587.0,0.0,0.0,1.0,0.0,0.09141991790539195,4588.0
4943,1992,55461.0,57098.0,481.0,41.0,4239.0,0.0,0.0,1.0,0.0,0.07425829275981645,4240.0
4944,1993,61713.0,63405.0,645.0,49.0,3700.0,0.0,0.0,1.0,0.0,0.05837079094708619,3701.0
4945,1994,69693.0,71177.0,884.0,58.0,4514.0,0.0,0.0,1.0,0.0,0.06343341247875016,4515.0
4946,1995,77628.0,80348.0,699.0,79.0,6713.0,0.0,0.0,1.0,0.0,0.08356150744262458,6714.0
4947,1996,87570.0,90079.0,805.0,89.0,7341.0,0.0,0.0,2.0,0.0,0.0815173347839119,7343.0
4948,1997,92654.0,95384.0,746.0,104.0,7200.0,0.0,0.0,2.0,0.0,0.07550532584081188,7202.0
4949,1998,88257.0,88545.7,1623.0,153.0,5177.0,0.4,0.0,1.3,0.0,0.05848618284117693,5178.7
4950,1999,96540.8,97637.8,2256.0,180.0,3534.0,0.3,0.0,1.5,0.0,0.03621343373160805,3535.8
4951,2000,105669.9,106124.9,2967.0,194.0,6026.0,0.3,0.0,1.6,0.0,0.05680005352184078,6027.900000000001
4952,2001,113689.8,114396.8,2881.0,267.0,6303.0,0.3,0.0,1.5,0.0,0.05511342974628661,6304.8
4953,2002,120663.9,121578.9,2821.0,273.0,7471.0,0.3,0.0,1.6,0.0,0.06146543520298342,7472.900000000001
4954,2003,115511.0,116982.9,2479.0,296.0,7299.0,0.3,0.0,1.6,0.0,0.062409976158908705,7300.900000000001
4955,2004,125025.0,125726.9,3388.0,372.0,6040.0,0.3,0.0,1.6,0.0,0.048055746224554975,6041.900000000001
4956,2005,131944.0,132197.3,4419.0,642.0,5798.0,0.8,0.0,1.5,0.0,0.04387608521505357,5800.3
4957,2006,139351.0,138741.6,5159.0,750.0,8125.0,0.9,0.0,1.7,0.0,0.05858084381324707,8127.599999999999
4958,2007,142446.0,143378.2,4491.0,926.0,8114.0,0.2,1.0,2.0,0.0,0.056613906437659275,8117.2
4959,2008,144404.0,147427.2,2785.0,1180.0,7113.0,0.2,3.0,2.0,0.0,0.048282813483536274,7118.2
4960,2009,143985.0,148390.0,2439.0,1560.0,7148.0,1.0,9.0,2.0,0.0,0.04825122986724173,7160.0
4961,2010,159441.0,159518.0,7287.0,1615.0,5537.0,3.0,23.0,2.0,0.0,0.03488634511465791,5565.0
4962,2011,157520.0,151595.0,10774.0,1335.0,7935.0,3.0,23.0,2.0,0.0,0.052528117681981595,7963.0
4963,2012,169090.0,166471.0,10527.0,1912.0,8431.0,3.0,23.0,1.0,0.0,0.0508076481789621,8458.0
4964,2013,174662.0,175531.0,12569.0,1794.0,5748.0,305.0,1080.0,1.0,0.0,0.04064239365126388,7134.0
4965,2014,179330.0,180862.0,12260.0,2066.0,5540.0,305.0,1385.0,1.0,0.0,0.03998075881058487,7231.0
