,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4966,2002,62.9,62.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4967,2003,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4968,2004,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4969,2005,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4970,2006,72.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4971,2007,91.8,91.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4972,2008,110.514,110.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4973,2009,131.701,131.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4974,2010,136.61,136.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4975,2011,140.1,140.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4976,2012,126.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4977,2013,295.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4978,2014,349.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
