,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4979,1990,440.0,154.0,286.0,0.0,95.0,0.0,0.0,0.0,0.0,0.6168831168831169,95.0
4980,1991,550.0,284.0,266.0,0.0,193.0,0.0,0.0,0.0,0.0,0.6795774647887324,193.0
4981,1992,527.0,217.0,310.0,0.0,128.0,0.0,0.0,0.0,0.0,0.5898617511520737,128.0
4982,1993,598.0,320.0,278.0,0.0,230.0,0.0,0.0,0.0,0.0,0.71875,230.0
4983,1994,550.0,248.0,302.0,0.0,148.0,0.0,0.0,0.0,0.0,0.5967741935483871,148.0
4984,1995,762.0,350.0,412.0,0.0,255.0,0.0,0.0,0.0,0.0,0.7285714285714285,255.0
4985,1996,724.0,289.0,435.0,0.0,190.0,0.0,0.0,0.0,0.0,0.657439446366782,190.0
4986,1997,505.0,144.0,361.0,0.0,93.0,0.0,0.0,0.0,0.0,0.6458333333333334,93.0
4987,1998,523.0,301.0,222.0,0.0,172.0,0.0,0.0,0.0,0.0,0.5714285714285714,172.0
4988,1999,564.0,312.0,252.0,0.0,203.0,0.0,0.0,0.0,0.0,0.6506410256410257,203.0
4989,2000,557.0,275.0,282.0,0.0,199.0,0.0,0.0,0.0,0.0,0.7236363636363636,199.0
4990,2001,544.7,168.0,379.7,0.0,92.0,0.0,0.0,0.0,0.0,0.5476190476190477,92.0
4991,2002,560.7,233.0,330.7,0.0,166.0,0.0,0.0,0.0,0.0,0.7124463519313304,166.0
4992,2003,633.8,294.0,343.8,0.0,236.0,0.0,0.0,0.0,0.0,0.8027210884353742,236.0
4993,2004,669.7,265.0,408.7,0.0,157.0,0.0,0.0,0.0,0.0,0.5924528301886792,157.0
4994,2005,699.7,261.7,442.0,0.0,144.0,0.0,0.0,0.0,0.0,0.550248376003057,144.0
4995,2006,703.2,308.0,398.9,0.0,172.5,0.0,0.0,0.0,0.0,0.560064935064935,172.5
4996,2007,711.2,239.7,475.7,0.0,180.0,0.0,0.0,0.0,0.0,0.7509386733416771,180.0
4997,2008,792.1,211.3,583.3,0.0,174.1,0.0,0.0,0.0,0.0,0.8239469947941315,174.1
4998,2009,874.8,262.0,615.4,0.0,219.0,0.0,0.0,0.0,0.0,0.8358778625954199,219.0
4999,2010,940.2,320.2,627.7,0.0,185.5,0.0,0.0,0.0,0.0,0.5793254216114928,185.5
5000,2011,1010.2,320.2,695.8,0.0,201.6,0.0,0.0,0.0,0.0,0.6296064959400375,201.6
5001,2012,1067.9,399.4,679.3,0.0,165.1,0.0,0.0,0.0,0.0,0.4133700550826239,165.1
5002,2013,1119.9,359.8,773.3,0.0,73.5,0.0,0.0,0.0,0.0,0.20428015564202334,73.5
5003,2014,1208.2,357.7,856.9,0.0,119.8,0.0,0.0,0.0,0.0,0.3349175286552977,119.8
