,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
5004,1990,23.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5005,1991,24.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5006,1992,25.0,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5007,1993,25.5,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5008,1994,27.5,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5009,1995,29.5,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5010,1996,28.3,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5011,1997,28.0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5012,1998,28.0,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5013,1999,32.2,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5014,2000,41.2,43.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5015,2001,37.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5016,2002,38.2,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5017,2003,43.0,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5018,2004,45.1,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5019,2005,46.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5020,2006,47.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5021,2007,49.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5022,2008,51.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5023,2009,52.66,54.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5024,2010,49.85,51.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5025,2011,51.16,53.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5026,2012,50.39,52.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5027,2013,51.313,53.313,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.038452159885956516,2.05
5028,2014,52.56100000000001,54.56100000000001,0.0,0.0,0.0,0.0,2.498,0.0,0.0,0.04578361833544106,2.498
