,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
5029,1990,3401.0,3577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5030,1991,3559.0,3720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5031,1992,3802.0,3976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5032,1993,3662.0,3817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5033,1994,3818.0,4069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5034,1995,4130.0,4307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5035,1996,4355.0,4541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5036,1997,4851.0,4988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5037,1998,5027.0,5169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5038,1999,4989.0,5247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5039,2000,5202.0,5459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5040,2001,5391.0,5644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5041,2002,5391.0,5644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5042,2003,6188.0,6437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5043,2004,6188.0,6430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5044,2005,6800.0,7058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5045,2006,6928.0,7190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5046,2007,7395.0,7676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5047,2008,7448.0,7731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5048,2009,7556.0,7843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5049,2010,8176.0,8485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5050,2011,8453.0,8772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5051,2012,8800.0,9132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5052,2013,9159.0,9505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5053,2014,9531.0,9891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
