,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
5054,1990,5249.0,5534.0,125.0,129.0,44.0,0.0,0.0,0.0,0.0,0.00795084929526563,44.0
5055,1991,5477.0,5743.0,144.0,129.0,105.0,0.0,0.0,0.0,0.0,0.018283127285390912,105.0
5056,1992,5887.0,6181.0,121.0,126.0,65.0,0.0,0.0,0.0,0.0,0.010516097718815726,65.0
5057,1993,6526.0,6610.0,252.0,38.0,64.0,0.0,0.0,0.0,0.0,0.009682299546142208,64.0
5058,1994,7043.0,6984.0,332.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0057273768613974796,40.0
5059,1995,7337.0,7589.0,173.0,141.0,39.0,0.0,0.0,0.0,0.0,0.0051390169982869945,39.0
5060,1996,7567.0,7837.0,163.0,149.0,67.0,0.0,0.0,0.0,0.0,0.00854918974097231,67.0
5061,1997,8089.0,8486.0,7.0,0.0,47.0,0.0,0.0,0.0,0.0,0.005538534056092387,47.0
5062,1998,7693.0,8640.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.008333333333333333,72.0
5063,1999,8389.0,9526.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.009447826999790049,90.0
5064,2000,8914.0,10095.0,1.0,0.0,64.0,23.0,0.0,0.0,0.0,0.00861812778603269,87.0
5065,2001,9626.0,10854.0,10.0,0.0,54.0,24.0,0.0,0.0,0.0,0.007186290768380321,78.0
5066,2002,9959.0,11281.0,0.0,59.0,64.0,30.0,0.0,0.0,0.0,0.008332594628135804,94.0
5067,2003,10557.0,11829.0,0.0,20.0,165.0,33.0,0.0,0.0,0.0,0.016738523966522954,198.0
5068,2004,11187.0,12455.0,0.0,27.0,154.0,44.0,0.0,0.0,0.0,0.015897230028101166,198.0
5069,2005,11728.0,13007.0,0.0,36.0,145.0,42.0,0.0,0.0,0.0,0.014376873990927961,187.0
5070,2006,13092.0,14122.0,142.0,135.0,92.0,38.0,0.0,0.0,0.0,0.009205494972383516,130.0
5071,2007,14060.0,14521.0,0.0,0.0,49.0,43.0,0.0,0.0,0.0,0.006335651814613319,92.0
5072,2008,14578.0,15073.0,122.0,129.0,38.0,39.0,0.0,0.0,0.0,0.005108472102434817,77.0
5073,2009,14994.0,15428.0,192.0,152.0,79.0,97.0,0.0,0.0,0.0,0.011407829919626652,176.0
5074,2010,15837.0,16369.2,141.0,122.0,50.0,139.0,0.2,0.0,0.0,0.011558292402805268,189.2
5075,2011,15884.0,16496.5,131.0,161.0,54.0,109.0,1.5,0.0,0.0,0.009971812202588429,164.5
5076,2012,17370.0,18059.4,384.0,426.0,110.0,196.0,3.4,0.0,0.0,0.017132352126870216,309.4
5077,2013,17685.0,18381.62,177.0,233.0,60.0,358.0,11.62,0.0,0.0,0.023372259898746684,429.62
5078,2014,18282.0,19024.0,536.0,625.0,56.0,507.0,25.0,0.0,0.0,0.030908326324642556,588.0
