,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
5079,1990,53501.0,57543.0,176.0,907.0,23148.0,0.0,0.0,80.0,0.0,0.4036633474097631,23228.0
5080,1991,56844.0,60246.0,759.0,506.0,22683.0,0.0,0.0,81.0,0.0,0.3778508116721442,22764.0
5081,1992,62980.0,67342.0,189.0,314.0,26568.0,0.0,0.0,70.0,0.0,0.39556294734341124,26638.0
5082,1993,69489.0,73808.0,213.0,589.0,33951.0,0.0,0.0,78.0,0.0,0.46104758291784087,34029.0
5083,1994,73243.0,78321.0,31.0,570.0,30586.0,0.0,0.0,79.0,0.0,0.39152973021284204,30665.0
5084,1995,81163.0,86247.0,0.0,696.0,35541.0,0.0,0.0,86.0,0.0,0.41308103470265634,35627.0
5085,1996,90011.0,94862.0,270.0,343.0,40475.0,0.0,0.0,84.0,0.0,0.4275579262507643,40559.0
5086,1997,100467.0,103296.0,2492.0,271.0,39816.0,0.0,0.0,83.0,0.0,0.3862589064436183,39899.0
5087,1998,108499.0,111022.0,3298.0,298.0,42229.0,5.0,0.0,85.0,0.0,0.3811767037163805,42319.0
5088,1999,112747.0,116440.0,2330.0,285.0,34677.0,21.0,0.0,81.0,0.0,0.29868601855032634,34779.0
5089,2000,122052.0,124922.0,3791.0,437.0,30879.0,33.0,0.0,76.0,0.0,0.24805878868413891,30988.0
5090,2001,120397.0,122725.0,4579.0,433.0,24010.0,62.0,0.0,90.0,0.0,0.19687920146669383,24162.0
5091,2002,126880.0,129400.0,3588.0,435.0,33683.0,48.0,0.0,105.0,0.0,0.261483771251932,33836.0
5092,2003,135818.0,140581.0,1158.0,588.0,35330.0,61.0,0.0,89.0,0.0,0.25238118949217886,35480.0
5093,2004,144385.0,150698.0,463.0,1144.0,46084.0,58.0,0.0,93.0,0.0,0.30680566430874995,46235.0
5094,2005,154307.0,161956.0,636.0,1798.0,39561.0,59.0,0.0,94.0,0.0,0.24521474968509965,39714.0
5095,2006,167880.0,176299.0,573.0,2236.0,44244.0,127.0,0.0,94.0,0.0,0.25221356899358477,44465.0
5096,2007,181782.0,191558.0,864.0,2422.0,35851.0,355.0,0.0,156.0,0.0,0.18982240365842198,36362.0
5097,2008,189430.0,198418.0,789.0,1122.0,33270.0,847.0,0.0,162.0,0.0,0.17276154381154935,34279.0
5098,2009,185885.0,194812.0,812.0,1546.0,35958.0,1495.0,0.0,436.0,0.0,0.1944900724801347,37889.0
5099,2010,202272.0,211208.0,1144.0,1918.0,51796.0,2916.0,0.0,668.0,0.0,0.262205977046324,55380.0
5100,2011,218469.0,229393.0,4556.0,3645.0,52338.0,4723.0,0.0,694.0,0.0,0.2517731578557323,57755.0
5101,2012,230580.0,239496.0,5827.0,2954.0,57865.0,5860.0,0.0,899.0,0.0,0.269833316631593,64624.0
5102,2013,235179.0,240154.0,7429.0,1227.0,59420.0,7557.0,0.0,1364.0,0.0,0.2845715665781124,68341.0
5103,2014,244706.0,251963.0,7953.0,2696.0,40645.0,8520.0,17.0,2364.0,0.0,0.20457765624317856,51546.0
