,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
5104,1992,7849.0,13183.0,1152.0,5447.0,4.0,0.0,0.0,0.0,0.0,0.0003034210725934916,4.0
5105,1993,8654.0,12637.0,1251.0,4437.0,5.0,0.0,0.0,0.0,0.0,0.0003956635277360133,5.0
5106,1994,7186.0,10518.0,1040.0,3690.0,4.0,0.0,0.0,0.0,0.0,0.00038030043734550294,4.0
5107,1995,7126.0,9818.0,980.0,3000.0,4.0,0.0,0.0,0.0,0.0,0.00040741495212874313,4.0
5108,1996,6686.0,10120.0,950.0,3750.0,5.0,0.0,0.0,0.0,0.0,0.0004940711462450593,5.0
5109,1997,5536.0,9498.0,950.0,4411.0,5.0,0.0,0.0,0.0,0.0,0.0005264266161297116,5.0
5110,1998,7442.0,9416.0,0.0,1300.0,6.0,0.0,0.0,0.0,0.0,0.000637213254035684,6.0
5111,1999,6840.0,8860.0,0.0,1400.0,5.0,0.0,0.0,0.0,0.0,0.000564334085778781,5.0
5112,2000,8293.0,9850.0,0.0,800.0,5.0,0.0,0.0,0.0,0.0,0.0005076142131979696,5.0
5113,2001,8829.0,10613.0,0.0,980.0,3.0,0.0,0.0,0.0,0.0,0.0002826721944784698,3.0
5114,2002,8882.0,10703.0,0.0,1010.0,3.0,0.0,0.0,0.0,0.0,0.0002802952443240213,3.0
5115,2003,8784.0,10803.0,0.0,1200.0,3.0,0.0,0.0,0.0,0.0,0.00027770063871146905,3.0
5116,2004,9729.0,11923.0,0.0,1290.0,3.0,0.0,0.0,0.0,0.0,0.00025161452654533256,3.0
5117,2005,10561.0,12823.0,0.0,1290.0,3.0,0.0,0.0,0.0,0.0,0.00023395461280511582,3.0
5118,2006,10968.0,13653.0,0.0,1650.0,3.0,0.0,0.0,0.0,0.0,0.00021973192704900023,3.0
5119,2007,11805.0,14883.0,0.0,1950.0,3.0,0.0,0.0,0.0,0.0,0.00020157226365652087,3.0
5120,2008,12373.0,15043.0,0.0,1530.0,3.0,0.0,0.0,0.0,0.0,0.00019942830552416408,3.0
5121,2009,12672.0,15983.0,0.0,2100.0,3.0,0.0,0.0,0.0,0.0,0.00018769943064506038,3.0
5122,2010,12991.0,16663.0,0.0,2410.0,3.0,0.0,0.0,0.0,0.0,0.00018003960871391706,3.0
5123,2011,13369.0,17220.0,0.0,2550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5124,2012,13689.0,17750.0,0.0,2720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5125,2013,14594.0,18870.0,0.0,2850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5126,2014,15648.0,20400.0,0.0,3210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
