,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
5127,1990,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5128,1991,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5129,1992,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5130,1993,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5131,1994,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5132,1995,39.1,39.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5133,1996,38.8,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5134,1997,51.1,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5135,1998,53.5,53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5136,1999,64.1,64.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5137,2000,75.4,75.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5138,2001,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5139,2002,99.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5140,2003,107.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5141,2004,112.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5142,2005,128.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5143,2006,152.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5144,2007,176.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5145,2008,190.4,196.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5146,2009,200.6,207.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5147,2010,206.3,213.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5148,2011,206.8,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5149,2012,218.9,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5150,2013,218.9,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5151,2014,222.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
