,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
5152,1990,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5153,1991,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5154,1992,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5155,1993,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5156,1994,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5157,1995,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5158,1996,2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5159,1997,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5160,1998,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5161,1999,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5162,2000,2.8,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5163,2001,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5164,2002,3.9,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5165,2003,3.8,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5166,2004,4.1,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5167,2005,4.2,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5168,2006,4.2,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5169,2007,4.3,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5170,2008,4.4,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5171,2009,4.59,4.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5172,2010,5.39,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5173,2011,5.08,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5174,2012,5.1,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5175,2013,5.1,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5176,2014,5.1,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
