,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
5179,1990,602.0,774.0,0.0,166.0,769.0,0.0,0.0,0.0,0.0,0.9935400516795866,769.0
5180,1991,678.0,834.0,0.0,150.0,829.0,0.0,0.0,0.0,0.0,0.9940047961630696,829.0
5181,1992,600.0,895.0,0.0,289.0,890.0,0.0,0.0,0.0,0.0,0.994413407821229,890.0
5182,1993,753.0,1018.0,0.0,259.0,1012.0,0.0,0.0,0.0,0.0,0.9941060903732809,1012.0
5183,1994,799.0,1057.0,0.0,252.0,1052.0,0.0,0.0,0.0,0.0,0.9952696310312205,1052.0
5184,1995,896.0,1097.0,0.0,195.0,1092.0,0.0,0.0,0.0,0.0,0.9954421148587056,1092.0
5185,1996,1013.0,1170.0,0.0,151.0,1165.0,0.0,0.0,0.0,0.0,0.9957264957264957,1165.0
5186,1997,1083.0,1258.0,0.0,169.0,1253.0,0.0,0.0,0.0,0.0,0.9960254372019078,1253.0
5187,1998,1109.2,1274.2,0.0,159.0,1268.0,0.0,0.0,0.0,0.0,0.9951342018521425,1268.0
5188,1999,1203.2,1383.2,0.0,174.0,1377.0,0.0,0.0,0.0,0.0,0.9955176402544823,1377.0
5189,2000,1326.2,1582.2,1.0,251.0,1576.0,0.0,0.0,0.0,0.0,0.9960814056377196,1576.0
5190,2001,1469.2,1619.2,1.0,145.0,1613.0,0.0,0.0,0.0,0.0,0.9961709486166007,1613.0
5191,2002,1479.2,1747.2,3.0,265.0,1741.0,0.0,0.0,0.0,0.0,0.9964514652014652,1741.0
5192,2003,1580.2,1802.2,3.0,219.0,1796.0,0.0,0.0,0.0,0.0,0.9965597602929752,1796.0
5193,2004,1739.2,1942.2,2.0,197.0,1940.0,0.0,0.0,0.0,0.0,0.9988672639275049,1940.0
5194,2005,1812.0,1881.0,2.0,63.0,1813.0,0.0,0.0,0.0,0.0,0.9638490164805954,1813.0
5195,2006,1619.0,1616.0,47.0,36.0,1239.0,0.0,0.0,0.0,0.0,0.7667079207920792,1239.0
5196,2007,1938.25,1953.0,58.25,65.0,1412.0,0.0,0.0,0.0,0.0,0.7229902713773682,1412.0
5197,2008,2053.92,2088.0,40.92,67.0,1467.0,0.0,0.0,0.0,0.0,0.7025862068965517,1467.0
5198,2009,2037.84,2185.55,25.06,80.62,1280.55,0.0,0.0,0.0,0.0,0.5859165885017501,1280.55
5199,2010,2312.81,2456.0,29.21,75.4,1604.7,0.0,0.0,0.0,0.0,0.6533794788273616,1604.7
5200,2011,2433.21,2588.0,36.31,89.0,1691.0,0.0,0.0,0.0,0.0,0.6534003091190108,1691.0
5201,2012,2472.5,2639.7,37.0,90.8,1724.8,0.0,0.0,0.0,0.0,0.6534075841951738,1724.8
5202,2013,2691.8,2860.9,46.5,104.7,1946.0,0.0,0.0,0.0,0.0,0.6802055297284071,1946.0
5203,2014,3003.4,3257.7,32.7,125.1,2560.6,0.0,0.0,0.0,0.0,0.7860146729287534,2560.6
