,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
5204,1992,232017.0,252524.0,15417.0,20502.0,8090.0,0.0,0.0,0.0,0.0,0.03203655890133215,8090.0
5205,1993,212550.0,229907.0,15773.0,17317.0,11237.0,0.0,0.0,0.0,0.0,0.04887628475861979,11237.0
5206,1994,187547.0,202922.0,12378.0,13420.0,12327.0,0.0,0.0,0.0,0.0,0.06074747932703206,12327.0
5207,1995,176969.0,194318.0,9726.0,12678.0,10150.0,0.0,0.0,0.0,0.0,0.05223396700254222,10150.0
5208,1996,165933.0,181986.0,4166.0,6183.0,8833.0,0.0,0.0,0.0,0.0,0.04853670062532283,8833.0
5209,1997,164682.0,178002.0,9719.0,9873.0,10032.0,0.0,0.0,0.0,0.0,0.05635891731553578,10032.0
5210,1998,159816.0,172822.0,10056.0,10728.0,15918.0,3.0,0.0,0.0,0.0,0.09212368795639445,15921.0
5211,1999,156148.0,172120.0,6964.0,10405.0,11752.0,3.0,0.0,0.0,0.0,0.06829537531954451,11755.0
5212,2000,155309.0,171445.0,2679.0,6528.0,11450.0,6.0,0.0,0.0,0.0,0.0668202630581236,11456.0
5213,2001,156225.0,172972.0,2137.0,5196.0,12191.0,16.0,0.0,0.0,0.0,0.07057211571815092,12207.0
5214,2002,156876.0,173734.0,5461.0,8576.0,9789.0,22.0,0.0,0.0,0.0,0.05647138729321837,9811.0
5215,2003,161409.0,180360.0,7236.0,12175.0,9390.0,31.0,0.0,0.0,0.0,0.05223442004879131,9421.0
5216,2004,162599.0,182165.0,2203.0,7529.0,11888.0,33.0,0.0,0.0,0.0,0.06544067191831582,11921.0
5217,2005,162893.0,186055.0,1715.0,10068.0,12505.0,38.0,0.0,0.0,0.0,0.06741554916556933,12543.0
5218,2006,167698.0,193381.0,2082.0,12519.0,13034.0,35.0,0.0,0.0,0.0,0.06758161349874083,13069.0
5219,2007,171833.0,196251.0,3383.0,12554.0,10259.0,45.0,0.0,0.0,0.0,0.05250419106144682,10304.0
5220,2008,170678.0,192586.0,2101.0,8831.0,11512.0,45.0,0.0,0.0,0.0,0.060009554173200544,11557.0
5221,2009,154902.0,173645.0,25.0,4294.0,11936.0,43.0,0.0,0.0,0.0,0.06898557401595208,11979.0
5222,2010,169773.0,188857.0,23.0,4078.0,13158.0,51.0,1.0,0.0,0.0,0.0699471028344197,13210.0
5223,2011,173343.0,194947.0,35.0,6327.0,10946.0,89.0,30.0,0.0,0.0,0.05675901655321703,11065.0
5224,2012,171930.0,198878.0,93.0,11560.0,10994.0,288.0,333.0,0.0,0.0,0.05840263880368869,11615.0
5225,2013,168219.0,194377.0,39.0,9929.0,14472.0,639.0,570.0,0.0,0.0,0.08067312490675337,15681.0
5226,2014,158872.0,182815.0,89.0,8523.0,9318.0,1130.0,429.0,0.0,0.0,0.05949730601974674,10877.0
