,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
5227,1990,17081.0,17081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5228,1991,17222.0,17222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5229,1992,18689.0,18689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5230,1993,21730.0,21730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5231,1994,23736.0,23736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5232,1995,23191.0,24982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5233,1996,24286.0,26572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5234,1997,25504.0,28464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5235,1998,31722.0,33392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5236,1999,35270.0,37126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5237,2000,37947.0,39944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5238,2001,41609.4,43172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5239,2002,45298.0,46856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5240,2003,47800.5,49450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5241,2004,50550.0,52417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5242,2005,58310.0,60698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5243,2006,64141.0,66768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5244,2007,70959.0,76106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5245,2008,77878.0,80463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5246,2009,84404.0,85698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5247,2010,89587.0,93949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5248,2011,95521.0,99137.0,49.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5249,2012,101436.0,106222.0,16.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5250,2013,105340.0,109979.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5251,2014,111685.0,116528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
