,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
5252,1990,309445.0,319737.0,11990.0,47.0,7189.0,9.0,0.0,0.0,0.0,0.02251225225732399,7198.0
5253,1991,317062.0,322875.0,16422.0,15.0,6147.0,11.0,0.0,0.0,0.0,0.019072396438250098,6158.0
5254,1992,315239.0,321043.0,16725.0,31.0,7128.0,40.0,0.0,0.0,0.0,0.022327227193864995,7168.0
5255,1993,318574.0,323102.0,16721.0,5.0,5739.0,218.0,0.0,0.0,0.0,0.018436902278537427,5957.0
5256,1994,323823.0,326487.0,16887.0,0.0,6557.0,342.0,0.0,0.0,0.0,0.021131009810497814,6899.0
5257,1995,330656.0,334041.0,16336.0,23.0,6390.0,391.0,0.0,0.0,0.0,0.020299903305282883,6781.0
5258,1996,349113.0,350869.0,16792.0,37.0,4949.0,488.0,0.0,0.0,0.0,0.015495811827206165,5437.0
5259,1997,348204.0,350666.0,16615.0,41.0,5655.0,667.0,0.0,0.0,0.0,0.018028551385078678,6322.0
5260,1998,355408.0,362703.0,12839.0,131.0,6742.0,877.0,0.0,0.0,0.0,0.021006167580637603,7619.0
5261,1999,361916.0,368152.0,14507.0,263.0,8238.0,850.0,1.0,0.0,0.0,0.024688172276668332,9089.0
5262,2000,371440.0,377069.0,14308.0,134.0,7780.0,947.0,1.0,0.0,0.0,0.023146957188206932,8728.0
5263,2001,374581.0,384790.0,10663.0,264.0,6478.0,965.0,2.0,0.0,0.0,0.01934821590997687,7445.0
5264,2002,375072.0,387247.0,9182.0,768.0,7439.0,1256.0,3.0,0.0,0.0,0.02246111654835286,8698.0
5265,2003,378686.0,398207.0,5119.0,2959.0,5961.0,1285.0,3.0,0.0,0.0,0.018204099877701798,7249.0
5266,2004,380897.0,393936.0,9784.0,2294.0,7492.0,1935.0,4.0,0.0,0.0,0.0239404370253036,9431.0
5267,2005,385097.0,398355.0,11160.0,2839.0,7852.0,2904.0,8.0,0.0,0.0,0.027021124373988025,10764.0
5268,2006,381378.0,397282.0,10282.0,2765.0,8446.0,4225.0,11.0,0.0,0.0,0.03192190937419767,12682.0
5269,2007,379280.0,396830.0,8613.0,3398.0,8936.0,5274.0,14.0,0.0,0.0,0.03584406420885518,14224.0
5270,2008,378204.0,388894.0,12294.0,1271.0,9234.0,7124.0,17.0,0.0,0.0,0.04210658945625286,16375.0
5271,2009,358167.0,376720.0,6609.0,3748.0,8915.0,9283.0,20.0,0.0,1.0,0.048362178806540666,18219.0
5272,2010,364112.0,381771.0,7144.0,4481.0,6715.0,10255.0,41.0,0.0,2.0,0.04456336390139639,17013.0
5273,2011,353372.0,367423.0,8689.0,2467.0,8585.0,15652.0,244.0,0.0,1.0,0.06663164799155197,24482.0
5274,2012,353504.0,363582.0,13743.0,1872.0,8252.0,19835.0,1352.0,0.0,4.0,0.08098035656330621,29443.0
5275,2013,351777.0,359168.0,17532.0,3102.0,7606.0,28421.0,1989.0,0.0,6.0,0.10586132394868139,38022.0
5276,2014,339043.0,338925.0,23244.0,2723.0,8768.0,32015.0,4050.0,0.0,2.0,0.13228590396105333,44835.0
