,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
5277,1990,1617.0,1629.0,0.0,0.0,1461.0,0.0,0.0,0.0,0.0,0.8968692449355433,1461.0
5278,1991,1820.0,1833.0,0.0,0.0,1659.0,0.0,0.0,0.0,0.0,0.9050736497545008,1659.0
5279,1992,1838.0,1852.0,0.0,0.0,1605.0,0.0,0.0,0.0,0.0,0.8666306695464363,1605.0
5280,1993,1953.0,1967.0,0.0,0.0,1653.0,0.0,0.0,0.0,0.0,0.8403660396542959,1653.0
5281,1994,1700.0,1715.0,0.0,0.0,1493.0,0.0,0.0,0.0,0.0,0.8705539358600584,1493.0
5282,1995,1833.0,1817.0,32.0,0.0,1539.0,0.0,0.0,0.0,0.0,0.8470005503577325,1539.0
5283,1996,2070.0,2053.0,33.0,0.0,1748.0,0.0,0.0,0.0,0.0,0.8514369215781783,1748.0
5284,1997,1819.0,1775.0,44.0,0.0,1449.0,0.0,0.0,0.0,0.0,0.8163380281690141,1449.0
5285,1998,2290.0,2245.0,45.0,0.0,2078.0,0.0,0.0,0.0,0.0,0.9256124721603564,2078.0
5286,1999,2434.0,2381.0,53.0,0.0,2165.0,0.0,0.0,0.0,0.0,0.9092818143637127,2165.0
5287,2000,2534.0,2479.0,55.0,0.0,2145.0,0.0,0.0,0.0,0.0,0.8652682533279549,2145.0
5288,2001,2819.0,2753.0,66.0,0.0,2602.0,0.0,0.0,0.0,0.0,0.9451507446422085,2602.0
5289,2002,2933.0,2854.0,79.0,0.0,2719.0,0.0,0.0,0.0,0.0,0.952697967764541,2719.0
5290,2003,2753.0,2658.0,95.0,0.0,2548.0,0.0,0.0,0.0,0.0,0.9586155003762227,2548.0
5291,2004,3007.0,2894.0,113.0,0.0,2357.0,0.0,0.0,0.0,0.0,0.8144436765722184,2357.0
5292,2005,3685.0,3613.0,72.0,0.0,1778.0,0.0,0.0,0.0,0.0,0.4921118184334348,1778.0
5293,2006,3616.0,3447.0,169.0,0.0,1436.0,0.0,0.0,0.0,0.0,0.41659413983173776,1436.0
5294,2007,4242.0,4182.0,60.0,0.0,2524.0,0.0,0.0,0.0,0.0,0.6035389765662362,2524.0
5295,2008,4441.0,4389.0,52.0,0.0,2649.0,0.0,3.0,0.0,0.0,0.6042378673957621,2652.0
5296,2009,4806.0,4741.0,65.0,0.0,2640.0,0.0,5.0,0.0,0.0,0.5578991773887365,2645.0
5297,2010,5331.0,5274.0,57.0,0.0,2701.0,0.0,7.0,0.0,0.0,0.5134622677284794,2708.0
5298,2011,5148.0,5093.0,55.0,0.0,1993.0,0.0,9.0,0.0,0.0,0.3930885529157667,2002.0
5299,2012,5650.0,5589.0,61.0,0.0,1767.0,0.0,13.0,0.0,0.0,0.31848273394167115,1780.0
5300,2013,6000.0,5941.0,59.0,0.0,1717.0,0.0,15.0,0.0,0.0,0.2915334118835213,1732.0
5301,2014,6278.0,6219.0,59.0,0.0,2590.0,0.0,18.0,0.0,0.0,0.41936002572760894,2608.0
