,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
5327,1990,935.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5328,1991,954.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5329,1992,974.0,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5330,1993,992.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5331,1994,1009.0,1057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5332,1995,1021.0,1071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5333,1996,1025.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5334,1997,1029.0,1079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5335,1998,950.0,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5336,1999,950.0,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5337,2000,950.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5338,2001,960.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5339,2002,960.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5340,2003,970.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5341,2004,976.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5342,2005,881.4580000000001,968.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5343,2006,885.0989999999999,974.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5344,2007,893.9730000000001,980.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5345,2008,884.694,971.7410000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5346,2009,850.427,920.773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5347,2010,871.942,957.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5348,2011,865.8,951.257,0.0,0.0,0.0,0.0,0.657,0.0,0.0,0.0006906650884040801,0.657
5349,2012,786.9,872.857,0.0,0.0,0.0,0.0,0.657,0.0,0.0,0.0007527006141899533,0.657
5350,2013,740.5,820.557,0.0,0.0,0.0,0.0,0.657,0.0,0.0,0.000800675638621083,0.657
5351,2014,701.034,772.33,0.0,0.0,0.0,0.0,5.912999999999999,0.0,0.0,0.007656053759403363,5.912999999999999
