,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
5302,1990,3009239.0,3218621.0,22506.0,20526.0,288960.0,3066.0,666.0,16012.0,0.0,0.09591188275972846,308704.0
5303,1991,3082657.0,3275840.0,30812.0,8540.0,309155.0,3051.0,782.0,16267.0,0.0,0.10051009817329296,329255.0
5304,1992,3103012.0,3291109.0,37204.0,8855.0,274883.0,2917.0,749.0,17168.0,0.0,0.0898532986905022,295717.0
5305,1993,3215846.0,3411280.0,39082.0,10655.0,303060.0,3053.0,901.0,17774.0,0.0,0.09521000914612697,324788.0
5306,1994,3288120.0,3473435.0,52230.0,7592.0,284373.0,3483.0,828.0,17479.0,0.0,0.08814415700883996,306163.0
5307,1995,3384560.0,3582114.0,46760.0,9146.0,337856.0,3196.0,828.0,14941.0,0.0,0.09961184931579509,356821.0
5308,1996,3473465.0,3677022.0,45288.0,7279.0,376702.0,3410.0,906.0,15746.0,0.0,0.10790362418283056,396764.0
5309,1997,3487911.0,3697728.0,43032.0,8974.0,358685.0,3254.0,897.0,14907.0,0.0,0.10215543165965696,377743.0
5310,1998,3602338.0,3830489.0,39513.0,12730.0,322080.0,3018.0,890.0,15369.0,0.0,0.08911577607976423,341357.0
5311,1999,3679960.0,3897518.0,43215.0,14221.0,301793.0,4802.0,689.0,15717.0,0.0,0.08287351078301627,323001.0
5312,2000,3818903.0,4052667.0,48592.0,14678.0,279986.0,5650.0,709.0,14621.0,0.0,0.07426368857841022,300966.0
5313,2001,3723850.0,3865307.0,38501.0,16474.0,214728.0,6806.0,785.0,14246.0,0.0,0.061202124436687697,236565.0
5314,2002,3881519.0,4051120.0,36373.0,13561.0,291755.0,10459.0,830.0,14939.0,0.0,0.07849261438811983,317983.0
5315,2003,3889900.0,4081764.0,30390.0,23972.0,305724.0,11300.0,848.0,14870.0,0.0,0.08151916671321517,332742.0
5316,2004,3982236.0,4174856.0,34210.0,22898.0,297894.0,14291.0,965.0,15487.0,0.0,0.07871816417141095,328637.0
5317,2005,4080649.0,4294368.0,44527.0,19803.0,297926.0,17881.0,1120.0,16778.0,0.0,0.07770759282856057,333705.0
5318,2006,4083837.0,4300831.0,42691.0,24271.0,317689.0,26676.0,1287.0,16581.0,0.0,0.08422395578900915,362233.0
5319,2007,4188972.0,4349840.0,51396.0,20143.0,275545.0,34603.0,1673.0,16798.0,0.0,0.07554737645522594,328619.0
5320,2008,4153344.0,4368260.0,57019.0,24198.0,281995.0,55696.0,2091.0,16873.0,0.0,0.08164692577822749,356655.0
5321,2009,3985365.0,4188214.0,52191.0,18138.0,298410.0,74226.0,2514.0,17046.0,0.0,0.09364277947592936,392196.0
5322,2010,4153664.0,4378422.0,45083.0,19107.0,286333.0,95148.0,3934.0,17577.0,0.0,0.09204046572029832,402992.0
5323,2011,4142125.0,4349571.0,52301.0,15038.0,344679.0,120854.0,6153.0,17892.0,0.0,0.11255776719129312,489578.0
5324,2012,4099686.0,4290660.0,59257.0,11995.0,298287.0,141922.0,10145.0,18135.0,0.0,0.1091880969361357,468489.0
5325,2013,4128465.0,4306371.0,70355.0,11353.0,290113.0,169713.0,15872.0,18422.0,0.0,0.11474162351548438,494120.0
5326,2014,4149377.0,4339210.0,66511.0,13298.0,281527.0,183892.0,24603.0,18710.0,0.0,0.11724069588703935,508732.0
