,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
5352,1990,4873.0,7443.0,51.0,2588.0,7008.0,0.0,0.0,0.0,0.0,0.9415558242644095,7008.0
5353,1991,5163.0,7019.0,0.0,1792.0,6113.0,0.0,0.0,0.0,0.0,0.870921783729876,6113.0
5354,1992,5440.0,8899.0,12.0,3397.0,7922.0,0.0,0.0,0.0,0.0,0.8902123834138668,7922.0
5355,1993,5688.0,7978.0,15.0,2256.0,7299.0,0.0,0.0,0.0,0.0,0.9148909501128102,7299.0
5356,1994,5921.0,7619.0,15.0,1676.0,7468.0,0.0,0.0,0.0,0.0,0.9801811261320383,7468.0
5357,1995,6216.0,6306.0,188.0,233.0,5855.0,0.0,0.0,0.0,0.0,0.9284808119251506,5855.0
5358,1996,6571.0,6668.0,308.0,343.0,5767.0,0.0,0.0,0.0,0.0,0.864877024595081,5767.0
5359,1997,6951.0,7147.0,271.0,415.0,6485.0,0.0,0.0,0.0,0.0,0.9073737232405205,6485.0
5360,1998,7367.0,9569.0,78.0,2234.0,9152.0,0.0,0.0,0.0,0.0,0.9564217786602571,9152.0
5361,1999,7631.0,7193.0,708.0,185.0,5499.0,0.0,0.0,0.0,0.0,0.7644932573335187,5499.0
5362,2000,7924.0,7588.0,1328.0,942.0,7051.0,0.0,0.0,0.0,0.0,0.9292303637322088,7051.0
5363,2001,7963.0,9250.0,123.0,1377.0,9194.0,0.0,0.0,0.0,0.0,0.993945945945946,9194.0
5364,2002,7847.0,9605.0,559.0,2287.0,9535.0,0.0,0.0,0.0,0.0,0.9927121290994274,9535.0
5365,2003,7845.0,8578.0,434.0,1138.0,8529.0,0.0,0.0,0.0,0.0,0.9942877127535557,8529.0
5366,2004,8161.0,5899.0,2348.0,19.0,4780.0,0.0,0.0,0.0,0.0,0.8103068316663842,4780.0
5367,2005,8354.0,7683.0,1585.0,841.0,6684.0,0.0,0.0,0.0,0.0,0.8699726669269816,6684.0
5368,2006,8338.0,5618.0,2835.0,16.0,3595.0,0.0,0.0,0.0,0.0,0.6399074403702385,3595.0
5369,2007,9126.0,9424.0,788.0,995.0,8067.0,0.0,0.0,0.0,0.0,0.8560059422750425,8067.0
5370,2008,9468.6,8769.1,962.8,29.4,4500.7,7.3,0.0,0.0,0.0,0.5140778415116717,4508.0
5371,2009,9705.8,8665.9,1468.0,242.8,5059.8,42.1,0.0,0.0,0.0,0.588732849444374,5101.900000000001
5372,2010,10196.3,10732.0,386.8,711.0,8407.2,69.9,0.0,0.0,0.0,0.7898900484532241,8477.1
5373,2011,10593.3,10344.9,476.9,19.0,6478.9,111.3,0.0,0.0,0.0,0.6370482073292154,6590.2
5374,2012,11040.8,10600.8,741.9,19.7,5420.9,117.8,0.0,0.0,0.0,0.5224794355143009,5538.7
5375,2013,11126.1,11657.5,0.0,206.4,8205.9,142.9,0.0,0.0,0.0,0.7161741368217884,8348.8
5376,2014,11380.6,13008.1,0.0,1266.5,9649.1,732.6,3.4,0.0,0.0,0.7983564086991951,10385.1
