,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
5377,1992,47474.0,50911.0,15914.0,16404.0,6281.0,0.0,0.0,0.0,0.0,0.12337215925831353,6281.0
5378,1993,46040.0,49149.0,15214.0,15621.0,7358.0,0.0,0.0,0.0,0.0,0.14970803068221122,7358.0
5379,1994,44770.0,47800.0,14800.0,15200.0,7156.0,0.0,0.0,0.0,0.0,0.1497071129707113,7156.0
5380,1995,43354.0,47453.0,12909.0,14199.0,6188.0,0.0,0.0,0.0,0.0,0.1304027142646408,6188.0
5381,1996,43849.0,45418.0,13918.0,12826.0,6525.0,0.0,0.0,0.0,0.0,0.1436655070676824,6525.0
5382,1997,44301.0,46054.0,12418.0,11489.0,5777.0,0.0,0.0,0.0,0.0,0.1254397012203066,5777.0
5383,1998,44289.0,45900.0,12362.0,11302.0,5758.0,0.0,0.0,0.0,0.0,0.12544662309368193,5758.0
5384,1999,43847.0,45300.0,12305.0,11114.0,5683.0,0.0,0.0,0.0,0.0,0.1254525386313466,5683.0
5385,2000,45407.0,46864.0,14026.0,12745.0,5879.0,0.0,0.0,0.0,0.0,0.12544810515534313,5879.0
5386,2001,45265.0,47500.0,13453.0,12959.0,5959.0,0.0,0.0,0.0,0.0,0.12545263157894737,5959.0
5387,2002,46428.0,49310.0,11444.0,11527.0,6186.0,0.0,0.0,0.0,0.0,0.12545122693165686,6186.0
5388,2003,46513.0,49400.0,11465.0,11548.0,7620.0,0.0,0.0,0.0,0.0,0.154251012145749,7620.0
5389,2004,47078.0,50000.0,11604.0,11688.0,9010.0,0.0,0.0,0.0,0.0,0.1802,9010.0
5390,2005,46324.0,49200.0,11418.0,11501.0,8630.0,0.0,0.0,0.0,0.0,0.17540650406504066,8630.0
5391,2006,47943.0,50920.0,11817.0,11903.0,9160.0,0.0,0.0,0.0,0.0,0.17989002356637862,9160.0
5392,2007,46089.0,48950.0,11360.0,11442.0,6400.0,0.0,0.0,0.0,0.0,0.13074565883554648,6400.0
5393,2008,46512.0,49400.0,11464.0,11547.0,11360.0,0.0,0.0,0.0,0.0,0.22995951417004049,11360.0
5394,2009,47190.0,49950.0,11916.0,11831.0,9330.0,0.0,0.0,0.0,0.0,0.18678678678678678,9330.0
5395,2010,48843.0,51700.0,12333.0,12245.0,10846.0,0.0,0.0,0.0,0.0,0.2097872340425532,10846.0
5396,2011,49504.0,52400.0,12500.0,12411.0,10240.0,0.0,0.0,0.0,0.0,0.19541984732824427,10240.0
5397,2012,49597.0,52500.0,12524.0,12435.0,11210.0,0.0,0.0,0.0,0.0,0.21352380952380953,11210.0
5398,2013,51203.0,54200.0,12930.0,12838.0,11560.0,0.0,0.0,0.0,0.0,0.2132841328413284,11560.0
5399,2014,52337.0,55400.0,13216.0,13122.0,11830.0,0.0,0.0,0.0,0.0,0.21353790613718412,11830.0
