,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
5400,1990,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5401,1991,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5402,1992,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5403,1993,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5404,1994,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5405,1995,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5406,1996,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5407,1997,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5408,1998,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5409,1999,44.21,44.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5410,2000,45.1,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5411,2001,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5412,2002,46.92,46.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5413,2003,48.0,48.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.03,1.44
5414,2004,48.96,48.96,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.030024509803921566,1.47
5415,2005,49.94,49.94,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.030036043251902286,1.5
5416,2006,50.94,50.94,0.0,0.0,1.53,0.0,0.0,0.0,0.0,0.030035335689045938,1.53
5417,2007,50.4,51.96,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.03002309468822171,1.56
5418,2008,66.61,68.67,0.0,0.0,7.41,5.63,0.0,0.0,0.0,0.18989369448085042,13.04
5419,2009,66.61,68.67,0.0,0.0,7.41,5.63,0.0,0.0,0.0,0.18989369448085042,13.04
5420,2010,66.87,68.94,0.0,0.0,8.01,5.17,0.0,0.0,0.0,0.1911807368726429,13.18
5421,2011,65.76,67.79,0.0,0.0,5.69,5.0,0.1,0.0,0.0,0.15916801888184098,10.790000000000001
5422,2012,65.23,67.35,0.0,0.0,7.25,2.9,0.2,0.0,0.0,0.1536748329621381,10.35
5423,2013,65.67,67.7,0.0,0.0,7.0,3.0,0.2,0.0,0.0,0.15066469719350073,10.2
5424,2014,64.6,66.6,0.0,0.0,7.0,3.0,0.2,0.0,0.0,0.15315315315315314,10.2
