,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
5425,1990,58150.0,59507.0,0.0,0.0,36983.0,0.0,0.0,0.0,0.0,0.621489908750231,36983.0
5426,1991,59072.0,60237.0,0.0,200.0,44400.0,0.0,0.0,0.0,0.0,0.7370885004233279,44400.0
5427,1992,64559.0,66070.0,0.0,360.0,47068.0,0.0,0.0,0.0,0.0,0.71239594369608,47068.0
5428,1993,70266.0,71611.0,0.0,0.0,47474.0,0.0,0.0,0.0,0.0,0.6629428439764841,47474.0
5429,1994,70186.0,71221.0,0.0,0.0,51284.0,0.0,0.0,0.0,0.0,0.7200685191165527,51284.0
5430,1995,74611.0,75446.0,0.0,0.0,53450.0,0.0,0.0,0.0,0.0,0.7084537284945523,53450.0
5431,1996,74400.0,75588.0,0.0,0.0,53844.0,0.0,0.0,0.0,0.0,0.7123352913160819,53844.0
5432,1997,77002.0,78066.0,0.0,0.0,57268.0,0.0,0.0,0.0,0.0,0.7335844029411012,57268.0
5433,1998,80857.0,82004.0,0.0,0.0,58556.0,0.0,0.0,0.0,0.0,0.7140627286473831,58556.0
5434,1999,79832.0,80588.0,0.0,0.0,60555.0,0.0,0.0,0.0,0.0,0.7514146026703727,60555.0
5435,2000,84367.0,85211.0,0.0,0.0,62826.0,0.0,0.0,0.0,0.0,0.7372991749891445,62826.0
5436,2001,89336.0,90117.0,0.0,0.0,60449.0,0.0,0.0,0.0,0.0,0.6707835369575108,60449.0
5437,2002,86716.0,87406.0,0.0,0.0,58674.0,0.0,0.0,0.0,0.0,0.6712811477472942,58674.0
5438,2003,90106.04,90235.04,0.0,0.0,60698.0,0.0,0.0,0.0,0.0,0.6726655188494404,60698.0
5439,2004,96849.0,98552.0,0.0,484.0,70075.0,0.0,0.0,0.0,0.0,0.7110459452877669,70075.0
5440,2005,104116.0,105990.0,0.0,584.0,77229.0,0.0,0.0,0.0,0.0,0.7286442117180866,77229.0
5441,2006,110566.0,112381.0,0.0,549.0,81600.0,0.0,0.0,0.0,0.0,0.7261013872451749,81600.0
5442,2007,112706.0,114563.0,0.0,540.0,83059.0,0.0,0.0,0.0,0.0,0.7250072012778995,83059.0
5443,2008,117665.0,119297.0,102.0,569.0,86841.0,0.0,0.0,0.0,0.0,0.7279395123096138,86841.0
5444,2009,118232.0,119580.0,260.0,633.0,85962.0,0.0,0.0,0.0,0.0,0.718866031108881,85962.0
5445,2010,113420.0,118370.0,0.0,0.0,76780.0,0.0,0.0,0.0,0.0,0.6486440821154008,76780.0
5446,2011,117033.0,122059.0,249.0,0.0,83670.0,0.0,0.0,0.0,0.0,0.6854881655592787,83670.0
5447,2012,116614.0,121653.0,480.0,0.0,82008.0,0.0,0.0,0.0,0.0,0.6741140785677295,82008.0
5448,2013,118198.0,123160.0,715.0,0.0,83545.0,0.0,0.0,0.0,0.0,0.6783452419616759,83545.0
5449,2014,121878.0,127732.0,0.0,0.0,87194.0,0.0,0.0,0.0,0.0,0.6826323865593587,87194.0
