,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
5450,1990,8337.0,8722.0,0.0,0.0,5371.0,0.0,0.0,0.0,0.0,0.6157991286402201,5371.0
5451,1991,8880.0,9300.0,0.0,0.0,6327.0,0.0,0.0,0.0,0.0,0.6803225806451613,6327.0
5452,1992,9308.0,9691.0,0.0,0.0,7093.0,0.0,0.0,0.0,0.0,0.731916210917346,7093.0
5453,1993,9742.0,10068.0,0.0,0.0,7862.0,0.0,0.0,0.0,0.0,0.7808899483512117,7862.0
5454,1994,11312.0,11665.0,0.0,0.0,8902.0,0.0,0.0,0.0,0.0,0.7631375910844407,8902.0
5455,1995,13789.0,14060.0,0.0,0.0,10582.0,0.0,0.0,0.0,0.0,0.7526315789473684,10582.0
5456,1996,16639.0,16944.0,0.0,0.0,12008.0,0.0,0.0,0.0,0.0,0.7086874409820585,12008.0
5457,1997,18805.0,19152.0,0.0,0.0,11677.0,0.0,0.0,0.0,0.0,0.6097013366750209,11677.0
5458,1998,21215.0,21688.0,0.0,0.0,11095.0,0.0,0.0,0.0,0.0,0.5115732202139432,11095.0
5459,1999,23089.0,23559.0,0.0,0.0,13774.0,0.0,0.0,0.0,0.0,0.5846597903136805,13774.0
5460,2000,26060.0,26561.0,0.0,0.0,14551.0,0.0,0.0,0.0,0.0,0.5478332894092843,14551.0
5461,2001,29988.0,30608.0,0.0,0.0,18210.0,0.0,0.0,0.0,0.0,0.5949424986931521,18210.0
5462,2002,35080.0,35796.0,0.0,0.0,18198.0,0.0,0.0,0.0,0.0,0.5083808246731478,18198.0
5463,2003,40107.0,40925.0,0.0,0.0,18986.0,0.0,0.0,0.0,0.0,0.46392180818570555,18986.0
5464,2004,45802.0,46209.0,0.0,0.0,17818.0,0.0,0.0,0.0,0.0,0.38559587959055597,17818.0
5465,2005,53366.0,53656.0,383.0,0.0,16945.0,0.0,0.0,0.0,0.0,0.3158081109288803,16945.0
5466,2006,60704.0,60493.0,966.0,0.0,20408.0,0.0,0.0,0.0,0.0,0.3373613475939365,20408.0
5467,2007,68783.0,67008.0,2630.0,0.0,23035.0,0.0,0.0,0.0,0.0,0.34376492359121297,23035.0
5468,2008,72162.0,73397.0,146.0,1.0,25986.0,1.0,0.0,0.0,0.0,0.35406079267544993,25987.0
5469,2009,81356.0,83185.0,199.0,11.0,29981.0,10.0,0.0,0.0,0.0,0.3605337500751337,29991.0
5470,2010,92062.0,94885.0,299.0,57.0,28055.0,50.0,0.0,0.0,0.0,0.29620066396163774,28105.0
5471,2011,102086.0,105219.0,301.0,79.0,41188.0,87.0,0.0,0.0,0.0,0.3922770602267651,41275.0
5472,2012,115067.0,118940.0,159.0,29.0,53172.0,92.0,0.0,0.0,0.0,0.44782243147805617,53264.0
5473,2013,124043.0,128549.0,221.0,178.0,58170.0,92.0,0.0,0.0,0.0,0.45322795198717997,58262.0
5474,2014,141136.0,145730.0,2053.0,880.0,61480.0,300.0,0.0,0.0,0.0,0.42393467371165855,61780.0
