,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
5475,2001,14.7,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5476,2002,15.5,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5477,2003,15.722999999999999,18.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5478,2004,16.389,19.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5479,2005,17.403,20.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5480,2006,17.180999999999997,19.687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5481,2007,17.761,20.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5482,2008,19.320999999999998,20.320999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5483,2009,17.534000000000002,20.090999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5484,2010,17.293,19.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5485,2011,17.237000000000002,19.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5486,2012,16.656,18.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5487,2013,16.528,18.837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5488,2014,16.281,18.555999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
