,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
5489,1991,1717.0,1970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5490,1992,1915.0,2156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5491,1993,2058.0,2350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5492,1994,1889.0,2160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5493,1995,2124.0,2422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5494,1996,2150.0,2457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5495,1997,2282.0,2557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5496,1998,2567.0,2912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5497,1999,2832.0,3136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5498,2000,3027.0,3413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5499,2001,3274.0,3643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5500,2002,3411.0,3769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5501,2003,3714.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5502,2004,3918.0,4365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5503,2005,4369.0,4768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5504,2006,5093.0,5387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5505,2007,5616.0,6027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5506,2008,6006.0,6546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5507,2009,6284.0,6750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5508,2010,6890.0,7755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5509,2011,5665.0,6204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5510,2012,6493.0,7073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5511,2013,7160.0,8501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5512,2014,6440.0,7646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
