,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
5518,1990,6291.0,7771.0,20.0,1500.0,7731.0,0.0,0.0,0.0,0.0,0.9948526573156607,7731.0
5519,1991,6295.0,7775.0,20.0,1500.0,7735.0,0.0,0.0,0.0,0.0,0.9948553054662379,7735.0
5520,1992,6300.0,7780.0,20.0,1500.0,7740.0,0.0,0.0,0.0,0.0,0.9948586118251928,7740.0
5521,1993,6035.0,7785.0,20.0,1500.0,7743.0,0.0,0.0,0.0,0.0,0.9946050096339114,7743.0
5522,1994,6035.0,7785.0,20.0,1500.0,7743.0,0.0,0.0,0.0,0.0,0.9946050096339114,7743.0
5523,1995,6429.0,7924.0,0.0,1307.0,7871.0,0.0,0.0,0.0,0.0,0.993311458859162,7871.0
5524,1996,6305.0,7171.0,0.0,697.0,7114.0,0.0,0.0,0.0,0.0,0.9920513178078372,7114.0
5525,1997,6027.0,7941.0,0.0,1727.0,7886.0,0.0,0.0,0.0,0.0,0.9930739201611888,7886.0
5526,1998,5660.0,7603.0,0.0,1764.0,7539.0,0.0,0.0,0.0,0.0,0.9915822701565171,7539.0
5527,1999,5899.0,7764.0,0.0,1682.0,7712.0,0.0,0.0,0.0,0.0,0.9933024214322514,7712.0
5528,2000,5759.0,7798.0,0.0,1855.0,7750.0,0.0,0.0,0.0,0.0,0.9938445755321877,7750.0
5529,2001,6703.0,7943.0,0.0,1052.0,7893.0,0.0,0.0,0.0,0.0,0.9937051491879643,7893.0
5530,2002,7177.0,8152.0,0.0,778.0,8102.0,0.0,0.0,0.0,0.0,0.9938665358194309,8102.0
5531,2003,7608.0,8308.0,0.0,504.0,8257.0,0.0,0.0,0.0,0.0,0.9938613384689456,8257.0
5532,2004,8075.0,8507.0,0.0,231.0,8460.0,0.0,0.0,0.0,0.0,0.994475138121547,8460.0
5533,2005,8482.0,8936.0,0.0,243.0,8883.0,0.0,0.0,0.0,0.0,0.9940689346463742,8883.0
5534,2006,8947.0,9682.0,46.0,552.0,9669.0,0.0,0.0,0.0,0.0,0.9986573022102871,9669.0
5535,2007,9264.0,9643.0,275.0,417.0,9631.0,0.0,0.0,0.0,0.0,0.9987555739914964,9631.0
5536,2008,9460.0,9534.0,264.0,96.0,9522.0,0.0,0.0,0.0,0.0,0.9987413467589679,9522.0
5537,2009,9082.0,9893.0,10.0,589.0,9881.0,0.0,0.0,0.0,0.0,0.9987870211260487,9881.0
5538,2010,9637.0,10448.0,13.0,578.0,10435.0,0.0,0.0,0.0,0.0,0.9987557427258805,10435.0
5539,2011,11301.0,11498.0,120.0,29.0,11483.0,0.0,0.0,0.0,0.0,0.998695425291355,11483.0
5540,2012,11264.0,12368.0,163.0,980.0,12350.0,0.0,0.0,0.0,0.0,0.9985446313065977,12350.0
5541,2013,11985.0,13300.0,73.0,1083.0,13281.0,0.0,0.0,0.0,0.0,0.9985714285714286,13281.0
5542,2014,12881.0,14452.0,13.0,1256.0,14042.0,0.0,0.0,0.0,0.0,0.9716302241904234,14042.0
