,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
5543,1990,10024.0,9559.0,879.0,5.0,3523.0,0.0,0.0,0.0,0.0,0.368553195940998,3523.0
5544,1991,10458.0,8832.0,1838.0,81.0,3114.0,0.0,0.0,0.0,0.0,0.35258152173913043,3114.0
5545,1992,9788.0,8617.0,1201.0,0.0,2970.0,0.0,0.0,0.0,0.0,0.3446675176975746,2970.0
5546,1993,9456.0,7668.0,1921.0,3.0,1693.0,0.0,0.0,0.0,0.0,0.22078768909754826,1693.0
5547,1994,10215.0,8272.0,2073.0,0.0,2375.0,0.0,0.0,0.0,0.0,0.28711315280464217,2375.0
5548,1995,10118.0,8017.0,2669.0,0.0,2177.0,0.0,0.0,0.0,0.0,0.2715479605837595,2177.0
5549,1996,11400.0,7819.0,3714.0,0.0,2167.0,0.0,0.0,0.0,0.0,0.27714541501470774,2167.0
5550,1997,11609.0,7350.0,4526.0,57.0,2175.0,0.0,0.0,0.0,0.0,0.29591836734693877,2175.0
5551,1998,11362.0,6583.0,4923.0,0.0,1926.0,0.0,0.0,0.0,0.0,0.29257177578611576,1926.0
5552,1999,12188.0,7091.0,5275.0,0.0,2949.0,0.0,0.0,0.0,0.0,0.41587928359892823,2949.0
5553,2000,11916.0,6995.0,5095.0,0.0,3260.0,0.0,0.0,0.0,0.0,0.4660471765546819,3260.0
5554,2001,11800.0,7906.0,4066.0,0.0,2998.0,0.0,0.0,0.0,0.0,0.3792056665823425,2998.0
5555,2002,12416.0,8587.0,4010.0,0.0,3824.0,0.0,0.0,0.0,0.0,0.44532432747175965,3824.0
5556,2003,11812.0,8799.0,3185.0,0.0,5359.0,0.0,0.0,0.0,0.0,0.6090464825548357,5359.0
5557,2004,11590.0,9719.0,2040.0,0.0,5501.0,0.0,0.0,0.0,0.0,0.566004732997222,5501.0
5558,2005,11989.0,9374.0,3013.0,36.0,4915.0,0.0,0.0,0.0,0.0,0.5243225944100705,4915.0
5559,2006,11565.0,7974.0,4246.0,347.0,5310.0,0.0,0.0,0.0,0.0,0.6659142212189616,5310.0
5560,2007,10242.0,7609.0,2956.0,29.0,5383.0,0.0,0.0,0.0,0.0,0.7074517019319227,5383.0
5561,2008,8445.0,7625.0,1686.0,571.0,5708.0,0.0,0.0,0.0,0.0,0.7485901639344262,5708.0
5562,2009,7845.6,7291.0,1882.1,1045.5,5458.0,0.0,0.0,0.0,0.0,0.748594157180085,5458.0
5563,2010,9317.3,8602.9,1681.7,694.4,5762.8,0.0,0.0,0.0,0.0,0.669867137825617,5762.8
5564,2011,9645.5,9177.2,1578.7,988.2,5201.8,0.0,0.0,0.0,0.0,0.5668177657673364,5201.8
5565,2012,9425.2,9148.6,1076.1,700.9,5387.3,0.0,0.0,0.0,0.0,0.5888660560085696,5387.3
5566,2013,9919.7,9498.8,1722.0,1189.3,4981.8,0.0,0.0,0.0,0.0,0.524466248368215,4981.8
5567,2014,9740.0,10023.0,1127.0,1226.0,5431.0,0.0,0.0,0.0,0.0,0.5418537364062656,5431.0
